id,name,description,description_en,ActorReference,Narrator,NarratorLength,NarratorTranslation,NarratorTranslationEs
0,mirror,"uno specchio rotto, che si sa, puó portare sfortuna…","a broken mirror, which is known to bring bad luck...",BP_Prop_Mirror,Uno specchio.. ROTTO!,2.1,..a broken mirror...,...un espejo roto...
1,globe,"un mappamondo, controverso essendo sferico, dato che alcuni pensano il mondo sia piatto!","a globe, controversial because it is spherical but some people think the world is flat!",BP_Prop_Globe,"Un bel globo sferico. Ripeto, sferico!",4,"..a nice spherical globe. I repeat, spherical.","...un bonito globo terráqueo. Repito, esférico."
2,cat,un gattazzo nero! Attenzione a quel gatto!,a black cat! Watch out for that cat!,BP_Prop_Cat,Un gatto nero... attenzione al gatto nero,3.6,..a black cat.. careful...,...un gato negro... cuidado...
3,moon,"una luna sospesa, controverso soggetto dato che non si sa se siamo mai davvero stati sulla luna.","a moon, suspended. It's controversial as we don't know if we've ever actually been to the moon.",BP_Prop_Moon,La Luna...,2.1,..the moon..,...la luna...
4,apple,"una mela, che é simbolo di buona salute, o stratagemma pubblicitario per venderne di piú? Oppure che é la mela della nonna, oppure simbolo della malefica compagnia americana e di ció che si dice succede nei suoi campus. O...?","an apple, allegedely good for health. Or is that just an advertising trick to sell apples? It could be just a granny's apple.. or is it the symbol of the evil American company and the secret things it does in its HQ?",BP_Prop_Apple,Una mela.,1.7,..an apple..,...una manzana...
5,ball,"Una palla di vetro con babbo natale e la neve, ma che le maschere scambiano per una sfera di cristallo. Le maschere quindi la interrogano sul futuro.",a glass ball with Santa and snow flakes inside. The masks mistake it for a magic crystal ball and start asking it all sort of questions,BP_Prop_Ball,"Una bella palla di vetro, con la neve. O??",4,..a crystal ball. Or!?,...una bola de cristal. ¿O...?
6,calculator,una calcolatrice che fa vedere 2+2=4. Ma non fa 5? Secondo alcuni è proprio così!,a calculator showing 2+2 = 4. But doesn't 2+2 = 5? According to some that's exactly it.,BP_Prop_Calculator,Una calcolatrice che dice... due più due uguale quattro,4,..a calculator that reads 2+2=4,...una calculadora que marca 2+2=4
7,calendar,"un calendario che dice oggi é Venerdi 17, e si sa.... potrebbe essere un Venerdí nero.","a calendar that says today is Friday 13, and, well, ... it could be Black Friday.",BP_Prop_Calendar,Ah un'ultima cosa. Oggi é Venerdi 17...,3.6,"ah also, today is Friday 17...","Ah, y además, hoy es viernes 17..."
8,english,"un libro di Inglese per principianti, aperto, per terra. Le maschere non sanno l’inglese, e leggendo frasi dal libro sentono solo insulti. ","a beginner's Italian book, open, on the floor. The masks don't speak Italian, and when reading from it only hear obscenities, insults or curses.",BP_Prop_English,un libro di inglese per principianti.,4,..a beginners' English book..,...un libro de inglés para principiantes...
9,glass,"un bicchiere di birra, perfetto perché una maschera ha molta sete. Ma bevuto, la birra non disseta la maschera. Allora l’altra maschera lo riempie con diversi tipi di birre. Ma nessuna disseta, causando disperazione. Ma alla fine la maschera lo riempie segretamente di pipí! E la pipí finalmente disseta! Mi raccomando: non dire mai ""pipí"" ma dai degli indizi chiari sull'odore, colore e temperatura del liquido.","a glass of beer, perfect because one mask is very thirsty. But after drinking it, the beer doesn't quench the mask's thirst. So the other mask fills it with different types of beer. But none of them quenches the thirst, causing despair. After a while, this mask secretly fills the glass with smelly pee! And the pee finally quenches the thirst! When writing, avoid saying it's pee but add clear clues about the provenance of the pee such as disgusting smell, color and temperature of the liquid.",BP_Prop_Glass,un fresco bicchiere di birra.,2.1,A glass of.. ehm.. beer!,Un vaso de... ejem... ¡cerveza!
10,latin,"un dizionario di latino. Una delle maschere lo apre e legge la grammatica. L'altra maschera non sa il latino e pensa di stare ricevendo bellissimi complimenti, sentendosi contenta.","a Latin dictionary, which the first mask opens and reads. The second mask does not understand Latin and thinks it is receiving beautiful compliments, feeling happy while actually being insulted by the first mask.",BP_Prop_Latin,un dizionario di latino.,2.1,A latin dictionary.,Un diccionario de latín.
11,lens,una lente d'ingrandimento ENORME. Una maschera la raccoglie e la usa per giustificare varie teorie del complotto.,"a HUGE magnifying glass. A mask picks it up and uses it to analyse the state of the world, justifying fake news and conspiracy theories with the HUGE lens.",BP_Prop_Lens,una lente di ingrandimento!,4,..a magnifying glass!,...¡una lupa!
12,maccheroni,"un piatto di maccheroni, che una delle maschere annusa e ne loda l'aroma, facendo analogie sconce.","a plate of macaroni, which one of the masks smells, praising its aroma and making very dirty analogies.",BP_Prop_Maccheroni,un piatto di maccheroni...,2.1,....a dish of maccheroni!,...¡un plato de macarrones!
13,sack,"un sacco di Juta chiuso. Le maschere lo toccano e speculano su cosa ci sia dentro in base alla sua consistenza, tirando fuori varie teorie del complotto.","a filled sack, closed. The masks touch it and speculate on its content based on its consistency, coming up with various conspiracy theories.",BP_Prop_Sack,"un sacco di iuta, ok? Bello pieno.",4,..a sack... filled with something.,...un saco... lleno de algo.